0	2760	1
0	1994	1
0	3631	1
0	2927	1
0	370	0
0	1794	0
0	97	0
0	852	0
1	2793	1
1	148	1
1	3542	1
1	2036	1
1	3417	0
1	2203	0
1	1311	0
1	3111	0
2	3746	1
2	3747	1
2	884	1
2	3749	1
2	2131	0
2	3032	0
2	1944	0
2	2611	0
3	736	1
3	3328	1
3	1600	1
3	2535	1
3	1640	0
3	1325	0
3	944	0
3	2639	0
4	2401	1
4	860	1
4	3525	1
4	550	1
4	3322	0
4	3082	0
4	1813	0
4	750	0
5	1064	1
5	3403	1
5	1075	1
5	2230	1
5	1297	0
5	3	0
5	2675	0
5	3441	0
6	1912	1
6	3219	1
6	1789	1
6	94	1
6	2487	0
6	3049	0
6	757	0
6	3312	0
7	3808	1
7	82	1
7	3756	1
7	47	1
7	1097	0
7	621	0
7	1597	0
7	1297	0
8	1730	1
8	2404	1
8	2093	1
8	3134	1
8	2146	0
8	575	0
8	1359	0
8	2008	0
9	2287	1
9	2508	1
9	173	1
9	1607	1
9	3489	0
9	512	0
9	3043	0
9	3631	0
10	3513	1
10	1626	1
10	1757	1
10	3253	1
10	2373	0
10	3034	0
10	727	0
10	1124	0
11	265	1
11	787	1
11	3262	1
11	2335	1
11	2937	0
11	1125	0
11	688	0
11	3329	0
12	2280	1
12	3258	1
12	1267	1
12	2957	1
12	1737	0
12	2380	0
12	3505	0
12	1209	0
13	3498	1
13	148	1
13	2332	1
13	3390	1
13	3810	0
13	3523	0
13	3217	0
13	2236	0
14	1544	1
14	3001	1
14	3231	1
14	2143	1
14	100	0
14	106	0
14	67	0
14	2704	0
15	3209	1
15	3186	1
15	1443	1
15	1077	1
15	2882	0
15	1809	0
15	3272	0
15	3230	0
16	1784	1
16	1785	1
16	2905	1
16	2372	1
16	3057	0
16	3488	0
16	1862	0
16	588	0
17	3449	1
17	367	1
17	405	1
17	279	1
17	2353	0
17	876	0
17	735	0
17	873	0
18	2655	1
18	1446	1
18	782	1
18	1966	1
18	2384	0
18	3483	0
18	453	0
18	3103	0
19	1930	1
19	2531	1
19	3582	1
19	2855	1
19	2643	0
19	2442	0
19	2594	0
19	2675	0
20	3557	1
20	2346	1
20	1677	1
20	2014	1
20	3416	0
20	1781	0
20	1370	0
20	662	0
21	2746	1
21	1995	1
21	1996	1
21	1997	1
21	2872	0
21	2105	0
21	234	0
21	1335	0
22	2952	1
22	2610	1
22	3594	1
22	2022	1
22	1594	0
22	3621	0
22	1413	0
22	2124	0
23	3608	1
23	3617	1
23	3306	1
23	3627	1
23	1453	0
23	2943	0
23	241	0
23	1180	0
24	800	1
24	2675	1
24	1715	1
24	1261	1
24	454	0
24	458	0
24	3185	0
24	2614	0
25	1849	1
25	3209	1
25	3290	1
25	3047	1
25	1200	0
25	1626	0
25	1735	0
25	2025	0
26	2827	1
26	476	1
26	3159	1
26	1631	1
26	331	0
26	2755	0
26	3447	0
26	2949	0
27	208	1
27	683	1
27	1869	1
27	971	1
27	718	0
27	1700	0
27	3447	0
27	51	0
28	2225	1
28	1700	1
28	44	1
28	2014	1
28	2347	0
28	1852	0
28	744	0
28	2041	0
29	2904	1
29	2001	1
29	2018	1
29	877	1
29	2660	0
29	3485	0
29	3457	0
29	1296	0
30	2017	1
30	1634	1
30	974	1
30	110	1
30	411	0
30	3217	0
30	274	0
30	352	0
31	3008	1
31	3693	1
31	901	1
31	3734	1
31	2501	0
31	2319	0
31	2801	0
31	3545	0
32	177	1
32	642	1
32	1500	1
32	2166	1
32	1035	0
32	2091	0
32	2291	0
32	267	0
33	2858	1
33	2987	1
33	3146	1
33	1263	1
33	2301	0
33	271	0
33	2790	0
33	545	0
34	448	1
34	471	1
34	539	1
34	119	1
34	3354	0
34	114	0
34	2599	0
34	3186	0
35	347	1
35	3492	1
35	2189	1
35	1574	1
35	1412	0
35	810	0
35	99	0
35	1183	0
36	3593	1
36	188	1
36	3191	1
36	1935	1
36	3330	0
36	3782	0
36	853	0
36	2029	0
37	3225	1
37	1427	1
37	2259	1
37	3342	1
37	2753	0
37	3501	0
37	2387	0
37	3530	0
38	2995	1
38	3038	1
38	1253	1
38	3011	1
38	2184	0
38	2165	0
38	2670	0
38	259	0
39	3696	1
39	698	1
39	3327	1
39	2807	1
39	1882	0
39	2817	0
39	2992	0
39	774	0
40	2696	1
40	697	1
40	3754	1
40	3069	1
40	223	0
40	1383	0
40	2819	0
40	2334	0
41	89	1
41	2519	1
41	76	1
41	655	1
41	916	0
41	2553	0
41	3570	0
41	3172	0
42	136	1
42	240	1
42	2774	1
42	1990	1
42	478	0
42	2962	0
42	2802	0
42	1020	0
43	272	1
43	2377	1
43	2419	1
43	3107	1
43	267	0
43	2057	0
